func_name,tries,max_value
binary_search_ai,15,56000
linear_ai,41378,57000
binary_search_ai,16,57000
linear_ai,26595,58000
binary_search_ai,16,58000
linear_ai,28699,59000
binary_search_ai,16,59000
linear_ai,11074,60000
binary_search_ai,16,60000
linear_ai,33184,61000
binary_search_ai,16,61000
linear_ai,3774,62000
binary_search_ai,16,62000
linear_ai,12360,63000
binary_search_ai,15,63000
linear_ai,39842,64000
binary_search_ai,14,64000
linear_ai,64601,65000
binary_search_ai,12,65000
linear_ai,16096,66000
binary_search_ai,15,66000
linear_ai,66845,67000
binary_search_ai,14,67000
linear_ai,65373,68000
binary_search_ai,16,68000
linear_ai,58397,69000
binary_search_ai,16,69000
linear_ai,2797,70000
binary_search_ai,16,70000
linear_ai,14918,71000
binary_search_ai,16,71000
linear_ai,36918,72000
binary_search_ai,15,72000
linear_ai,48598,73000
binary_search_ai,16,73000
linear_ai,28509,74000
binary_search_ai,14,74000
linear_ai,45020,75000
binary_search_ai,16,75000
linear_ai,9643,76000
binary_search_ai,10,76000
linear_ai,74453,77000
binary_search_ai,14,77000
linear_ai,15872,78000
binary_search_ai,15,78000
linear_ai,34611,79000
binary_search_ai,16,79000
linear_ai,23112,80000
binary_search_ai,13,80000
linear_ai,57093,81000
binary_search_ai,16,81000
linear_ai,39113,82000
binary_search_ai,16,82000
linear_ai,31149,83000
binary_search_ai,12,83000
linear_ai,63690,84000
binary_search_ai,17,84000
linear_ai,12815,85000
binary_search_ai,17,85000
linear_ai,34395,86000
binary_search_ai,15,86000
linear_ai,26926,87000
binary_search_ai,17,87000
linear_ai,7220,88000
binary_search_ai,17,88000
linear_ai,29298,89000
binary_search_ai,16,89000
linear_ai,14251,90000
binary_search_ai,15,90000
linear_ai,32263,91000
binary_search_ai,17,91000
linear_ai,8387,92000
binary_search_ai,17,92000
linear_ai,62180,93000
binary_search_ai,16,93000
linear_ai,43577,94000
binary_search_ai,16,94000
linear_ai,62770,95000
binary_search_ai,17,95000
linear_ai,47512,96000
binary_search_ai,14,96000
linear_ai,19091,97000
binary_search_ai,16,97000
linear_ai,48942,98000
binary_search_ai,16,98000
linear_ai,78567,99000
binary_search_ai,16,99000
